batch 424, moves 378, time 41.68, time per move 0.11, skipped 762, processed 105243, avg_loss: 2.5698
batch 426, moves 426, time 40.59, time per move 0.10, skipped 765, processed 105740, avg_loss: 2.5708
batch 428, moves 256, time 39.94, time per move 0.16, skipped 769, processed 106236, avg_loss: 2.6154
batch 430, moves 338, time 34.21, time per move 0.10, skipped 776, processed 106729, avg_loss: 2.5630
batch 432, moves 287, time 31.16, time per move 0.11, skipped 778, processed 107227, avg_loss: 2.6174
batch 434, moves 444, time 33.44, time per move 0.08, skipped 781, processed 107724, avg_loss: 2.5872
batch 436, moves 355, time 40.65, time per move 0.11, skipped 784, processed 108221, avg_loss: 2.5570
batch 438, moves 451, time 54.99, time per move 0.12, skipped 788, processed 108717, avg_loss: 2.5787
batch 440, moves 326, time 34.02, time per move 0.10, skipped 789, processed 109216, avg_loss: 2.5903
batch 442, moves 288, time 26.51, time per move 0.09, skipped 793, processed 109712, avg_loss: 2.5870
batch 444, moves 413, time 26.75, time per move 0.06, skipped 798, processed 110207, avg_loss: 2.5758
batch 446, moves 211, time 26.29, time per move 0.12, skipped 803, processed 110702, avg_loss: 2.5547
batch 448, moves 234, time 27.28, time per move 0.12, skipped 806, processed 111199, avg_loss: 2.5100
batch 450, moves 322, time 27.58, time per move 0.09, skipped 810, processed 111695, avg_loss: 2.5632
batch 452, moves 237, time 25.42, time per move 0.11, skipped 810, processed 112195, avg_loss: 2.5501
batch 454, moves 335, time 26.78, time per move 0.08, skipped 810, processed 112695, avg_loss: 2.5698
batch 456, moves 301, time 26.59, time per move 0.09, skipped 814, processed 113191, avg_loss: 2.5650
batch 458, moves 374, time 27.84, time per move 0.07, skipped 819, processed 113686, avg_loss: 2.5519
batch 460, moves 327, time 25.61, time per move 0.08, skipped 820, processed 114185, avg_loss: 2.5806
batch 462, moves 192, time 25.89, time per move 0.13, skipped 820, processed 114685, avg_loss: 2.5029
batch 464, moves 490, time 27.15, time per move 0.06, skipped 823, processed 115182, avg_loss: 2.5828
batch 466, moves 431, time 28.34, time per move 0.07, skipped 829, processed 115676, avg_loss: 2.5853
batch 468, moves 231, time 28.09, time per move 0.12, skipped 834, processed 116171, avg_loss: 2.6162
